context,question,answer,distract,question_type
"Lưới nội chất là một hệ thống màng bên trong tế bào tạo nên hệ thống các ống và xoang dẹp thông với nhau. Người ta chia lưới nội chất thành 2 loại là lưới nội chất trơn và lưới nội chất hạt. Lưới nội chất hạt có đính các hạt ribôxôm còn lưới nội chất trơn không có gắn các ribôxôm. Lưới nội chất hạt có một đầu được liên kết với màng nhân, đầu kia nối với hệ thống lưới nội chất trơn. Chức năng của lưới nội chất hạt là tổng hợp prôtêin tiết ra ngoài tế bào cũng như các prôtêin cấu tạo nên màng tế bào. Lưới nội chất trơn có đính rất nhiều loại enzim tham gia vào quá trình tổng hợp lipit, chuyển hoá đường và phân huỷ chất độc hại đối với cơ thể.",Cái gì có đính các hạt ribôxôm?,Lưới nội chất hạt,Lưới nội chất trơn [SEP] Màng tế bào [SEP] Hạt ribôxôm,0
"Enzim là chất xúc tác sinh học được tổng hợp trong các tế bào sống. Enzim chỉ làm tăng tốc độ của phản ứng mà không bị biến đổi sau phản ứng. Enzim có thể có thành phần chỉ là prôtêin hoặc prôtêin kết hợp với các chất khác không phải là prôtêin. Trong phân tử enzim có vùng cấu trúc không gian đặc biệt chuyên liên kết với cơ chất (chất chịu sự tác động của enzim) được gọi là trung tâm hoạt động. Thực chất, đây là một chỗ lõm hoặc khe nhỏ trên bề mặt enzim. Cấu hình không gian của trung tâm hoạt động của enzim tương thích với cấu hình không gian của cơ chất. Tại đây, các cơ chất liên kết tạm thời với enzim và nhờ đó phản ứng được xúc tác. Thoạt đầu, enzim liên kết với cơ chất tại trung tâm hoạt động tạo nên phức hợp enzim-cơ chất. Sau đó, bằng nhiều cách khác nhau, enzim tương tác với cơ chất để tạo ra sản phẩm. Liên kết enzim-cơ chất mang tính đặc thù. Vì thế, mỗi enzim thường chỉ xúc tác cho một phản ứng.",Enzim hoạt động như thế nào?,"liên kết với cơ chất tại trung tâm hoạt động tạo nên phức hợp enzim-cơ chất. Sau đó, bằng nhiều cách khác nhau, enzim tương tác với cơ chất để tạo ra sản phẩm.",biến đổi cấu trúc sau khi xúc tác [SEP] hợp nhất với cơ chất để tạo ra sản phẩm [SEP] phá vỡ liên kết với cơ chất sau khi phản ứng,5
"Hoạt tính của enzim được xác định bằng lượng sản phẩm được tạo thành từ một lượng cơ chất trên một đơn vị thời gian. Có nhiều yếu tố ảnh hưởng tới hoạt tính của enzim. Sau đây chúng ta xem xét một số yếu tố chính: Nhiệt độ: Mỗi enzim có một nhiệt độ tối ưu, tại đó enzim có hoạt tính tối đa làm cho tốc độ phản ứng xảy ra nhanh nhất. Độ pH: Mỗi enzim có một độ pH thích hợp. Ví dụ, enzim pepsin của dịch dạ dày người cần pH = 2. Nồng độ cơ chất: Với một lượng enzim xác định nếu tăng dần lượng cơ chất trong dung dịch thì thoạt đầu hoạt tính của enzim tăng dần, nhưng đến một lúc nào đó thì sự gia tăng về nồng độ cơ chất cũng không làm tăng hoạt tính của enzim. Vì tất cả trung tâm hoạt động của enzim đã được bão hoà bởi cơ chất. Chất ức chế hoặc hoạt hoá enzim: Một số chất hoá học có thể ức chế sự hoạt động của enzim. Một số chất khác khi liên kết với enzim lại làm tăng hoạt tính của enzim. Chẳng hạn, thuốc trừ sâu DDT... là những chất ức chế một số enzim quan trọng của hệ thần kinh người và động vật. Nồng độ enzim: Với một lượng cơ chất xác định, khi nồng độ enzim càng cao thì hoạt tính của enzim càng tăng.",Những yếu tố nào ảnh hưởng đến enzim?,"Nhiệt độ: Mỗi enzim có một nhiệt độ tối ưu, tại đó enzim có hoạt tính tối đa làm cho tốc độ phản ứng xảy ra nhanh nhất. Độ pH: Mỗi enzim có một độ pH thích hợp. Ví dụ, enzim pepsin của dịch dạ dày người cần pH = 2. Nồng độ cơ chất: Với một lượng enzim xác định nếu tăng dần lượng cơ chất trong dung dịch thì thoạt đầu hoạt tính của enzim tăng dần, nhưng đến một lúc nào đó thì sự gia tăng về nồng độ cơ chất cũng không làm tăng hoạt tính của enzim.",Chất dinh dưỡng [SEP] Nồng độ oxy [SEP] Ánh sáng,0
"Khi có enzim xúc tác, tốc độ của một phản ứng có thể tăng cả triệu lần. Nếu tế bào không có các enzim thì các hoạt động sống không thể duy trì được vì tốc độ của các phản ứng sinh hoá xảy ra quá chậm. Tế bào có thể tự điều chỉnh quá trình chuyển hoá vật chất để thích ứng với môi trường bằng cách điều chỉnh hoạt tính của các enzim. Sử dụng các chất ức chế hoặc hoạt hoá enzim là một trong các cách điều chỉnh hoạt tính của enzim khá hiệu quả và nhanh chóng. Các chất ức chế đặc hiệu khi liên kết với enzim sẽ làm biến đổi cấu hình của enzim làm cho enzim không thể liên kết được với cơ chất. Ngược lại, các chất hoạt hoá khi liên kết với enzim sẽ làm tăng hoạt tính của enzim. ức chế ngược là kiểu điều hoà trong đó sản phẩm của con đường chuyển hoá quay lại tác động như một chất ức chế làm bất hoạt enzim xúc tác cho phản ứng ở đầu của con đường chuyển hoá. Khi một enzim nào đó trong tế bào không được tổng hợp hoặc tổng hợp quá ít hay bị bất hoạt thì không những sản phẩm không được tạo thành mà cơ chất của enzim đó cũng sẽ bị tích luỹ lại gây độc cho tế bào hoặc có thể được chuyển hoá theo con đường phụ thành các chất độc gây nên các triệu chứng bệnh lí. Các bệnh như vậy ở người được gọi là bệnh rối loạn chuyển hoá.",Nếu một enzim nào đó trong tế bào không được tổng hợp hoặc tổng hợp quá ít hay bị bất hoạt thì sẽ gây ra hậu quả gì?,không những sản phẩm không được tạo thành mà cơ chất của enzim đó cũng sẽ bị tích luỹ lại gây độc cho tế bào hoặc có thể được chuyển hoá theo con đường phụ thành các chất độc gây nên các triệu chứng bệnh lí,sản phẩm của phản ứng sẽ được tạo thành với số lượng bình thường [SEP] hoạt động của enzim sẽ tăng lên [SEP] lượng cơ chất cần thiết sẽ bị giảm đi,5
"Quá trình hô hấp tế bào thực chất rất giống với quá trình đốt cháy nhiên liệu vẫn diễn ra hằng ngày trong cuộc sống. Con người đốt củi, than hay xăng, dầu để lấy năng lượng sưởi ấm, nấu nướng, chạy động cơ ô tô, xe máy... Các tế bào sống “đốt” các phân tử hữu cơ để lấy năng lượng cho các hoạt động của mình, cả hai quá trình này đều gồm các phản ưng ôxi hoá khử, đều tiêu tốn ôxi của khí quyển và sinh ra khí cacbônic. Nhưng, quá trình đốt cháy nhiên liệu xảy ra trong một phản ứng còn quá trình hô hấp tế bào diễn ra từ từ thông qua một chuỗi phản ứng kế tiếp nhau. Người ta thấy rằng, hiệu suất của quá trình hô hấp tế bào có thể đạt được tối đa khoảng 40%, trong khi đó loại động cơ xe hiệu quả nhất hiện nay cũng chỉ đạt hiệu suất khoảng 25%. Tế bào quả là một cỗ máy kì diệu.",Người ta nhận xét thế nào về hiệu suất của quá trình hô hấp tế bào?,"hiệu suất của quá trình hô hấp tế bào có thể đạt được tối đa khoảng 40%, trong khi đó loại động cơ xe hiệu quả nhất hiện nay cũng chỉ đạt hiệu suất khoảng 25%",hiệu suất của quá trình hô hấp tế bào bằng 0% [SEP] hiệu suất của quá trình hô hấp tế bào thấp hơn hiệu suất của động cơ xe hiệu quả nhất hiện nay [SEP] hiệu suất của quá trình hô hấp tế bào có thể đạt được tối đa khoảng 60%,5
"Các chất độc trong khói thuốc có thể làm tổn thương vật chất di truyền của tế bào làm rối loạn quá trình điều hoà phân bào. Tế bào phổi khi bị đột biến thoát khỏi cơ chế điều hoà phân bào sẽ phân chia vô hạn định dẫn đến tạo khối u. Không những thế, các tế bào ung thư lại còn có khả năng di căn, tức là chúng có thể di chuyển vào máu và đi đến cư trú ở nhiều nơi khác nhau trong cơ thể. Vì thế, hút thuốc lá nhiều có thể bị ung thư phổi. Ngoài việc chết do tổn thương hoặc bị đầu độc, các tế bào trong cơ thể đa bào còn chết theo chương trình. Điều này có nghĩa là tế bào chỉ được sống đến một thời gian nhất định do hệ gen định sẵn trong chương trình hoạt động của tế bào. Nếu các cơ chế điều khiển sự chết theo chương trình của tế bào bị trục trặc thì cơ thể sẽ bị rơi vào trạng thái bệnh lí. Ví dụ, khi bị nhiễm trùng, lượng bạch cầu trung tính trong máu tăng lên rất nhanh để tiêu diệt các tế bào vi khuẩn. Nhưng sau khi hoàn thành nhiệm vụ, các tế bào này được lập trình để tự chết nếu không cơ thể sẽ bị bệnh “bạch cầu trung tỉnh”. Hay, khi còn trong bào thai, các ngón tay của chúng ta được dính vơi nhau bởi một lớp màng. Khi thai nhi được 59 ngày tuổi, các tế bào của màng này theo chương trình tự chết làm cho các ngón tay của chúng ta rời nhau ra.",Cơ chế hoạt động của tế bào ung thư là gì?,di chuyển vào máu và đi đến cư trú ở nhiều nơi khác nhau trong cơ thể,phân chia vô hạn định dẫn đến tạo khối u [SEP] được lập trình để tự chết nếu không cơ thể sẽ bị bệnh “bạch cầu trung tỉnh” [SEP] tìm kiếm thức ăn,0
"Các chất độc trong khói thuốc có thể làm tổn thương vật chất di truyền của tế bào làm rối loạn quá trình điều hoà phân bào. Tế bào phổi khi bị đột biến thoát khỏi cơ chế điều hoà phân bào sẽ phân chia vô hạn định dẫn đến tạo khối u. Không những thế, các tế bào ung thư lại còn có khả năng di căn, tức là chúng có thể di chuyển vào máu và đi đến cư trú ở nhiều nơi khác nhau trong cơ thể. Vì thế, hút thuốc lá nhiều có thể bị ung thư phổi. Ngoài việc chết do tổn thương hoặc bị đầu độc, các tế bào trong cơ thể đa bào còn chết theo chương trình. Điều này có nghĩa là tế bào chỉ được sống đến một thời gian nhất định do hệ gen định sẵn trong chương trình hoạt động của tế bào. Nếu các cơ chế điều khiển sự chết theo chương trình của tế bào bị trục trặc thì cơ thể sẽ bị rơi vào trạng thái bệnh lí. Ví dụ, khi bị nhiễm trùng, lượng bạch cầu trung tính trong máu tăng lên rất nhanh để tiêu diệt các tế bào vi khuẩn. Nhưng sau khi hoàn thành nhiệm vụ, các tế bào này được lập trình để tự chết nếu không cơ thể sẽ bị bệnh “bạch cầu trung tỉnh”. Hay, khi còn trong bào thai, các ngón tay của chúng ta được dính vơi nhau bởi một lớp màng. Khi thai nhi được 59 ngày tuổi, các tế bào của màng này theo chương trình tự chết làm cho các ngón tay của chúng ta rời nhau ra.","Khi nhiễm trùng, cơ chế hoạt động của tế bào như thế nào?",lượng bạch cầu trung tính trong máu tăng lên rất nhanh,lượng bạch cầu trung tính trong máu tăng lên rất chậm [SEP] lượng bạch cầu trung tính trong máu tăng lên tới mức vô hạn định [SEP] lượng bạch cầu trung tính trong máu tăng lên nhưng không đủ để tiêu diệt vi khuẩn,5
"Các chất độc trong khói thuốc có thể làm tổn thương vật chất di truyền của tế bào làm rối loạn quá trình điều hoà phân bào. Tế bào phổi khi bị đột biến thoát khỏi cơ chế điều hoà phân bào sẽ phân chia vô hạn định dẫn đến tạo khối u. Không những thế, các tế bào ung thư lại còn có khả năng di căn, tức là chúng có thể di chuyển vào máu và đi đến cư trú ở nhiều nơi khác nhau trong cơ thể. Vì thế, hút thuốc lá nhiều có thể bị ung thư phổi. Ngoài việc chết do tổn thương hoặc bị đầu độc, các tế bào trong cơ thể đa bào còn chết theo chương trình. Điều này có nghĩa là tế bào chỉ được sống đến một thời gian nhất định do hệ gen định sẵn trong chương trình hoạt động của tế bào. Nếu các cơ chế điều khiển sự chết theo chương trình của tế bào bị trục trặc thì cơ thể sẽ bị rơi vào trạng thái bệnh lí. Ví dụ, khi bị nhiễm trùng, lượng bạch cầu trung tính trong máu tăng lên rất nhanh để tiêu diệt các tế bào vi khuẩn. Nhưng sau khi hoàn thành nhiệm vụ, các tế bào này được lập trình để tự chết nếu không cơ thể sẽ bị bệnh “bạch cầu trung tính”. Hay, khi còn trong bào thai, các ngón tay của chúng ta được dính vơi nhau bởi một lớp màng. Khi thai nhi được 59 ngày tuổi, các tế bào của màng này theo chương trình tự chết làm cho các ngón tay của chúng ta rời nhau ra.",Nếu không thể làm được các tế bào vi khuẩn thì các tế bào sẽ được làm gì?,lập trình để tự chết,tăng sinh liên tục [SEP] chuyển đổi thành tế bào ung thư [SEP] di cư đến các nơi khác trong cơ thể,5
"Giảm phân gồm 2 lần phân bào liên tiếp và xảy ra ở các cơ quan sinh sản nhưng chỉ có một lần ADN nhân đôi. Qua giảm phân từ 1 tế bào ban đầu cho ra 4 tế bào con với số lượng NST giảm đi một nửa. Giảm phân I. Kì đầu I: Giống như trong nguyên phân, tại kì trung gian, các NST được nhân đôi và các nhiễm sắc tử (crômatit) vẫn còn đính với nhau tại tâm động. Một NST bao gồm 2 nhiễm sắc tử như vậy được gọi là NST kép. Bước vào kì đầu I, các NST kép bắt đôi với nhau theo từng cặp tương đồng. Sau khi tiếp hợp, các NST kép dần dần co xoắn lại. Tiếp đến, các NST kép trong mỗi cặp NSTkép tương đồng dần dần đẩy nhau ra bắt đầu từ tâm động. Trong khi NST tiếp tục co xoắn lại thì thoi phân bào cũng hình thành và một số sợi thoi được đính với tâm động của các NST. Trong quá trình bắt đôi, các NST kép trong cặp NST kép tương đồng có thể trao đổi các đoạn crômatit cho nhau. Hiện tượng này được gọi là hiện tượng trao đổi chéo. Cuối kì đầu, màng nhân và nhân con dần tiêu biến. Kì đầu I chiếm phần lớn toàn bộ thời gian của quá trình giảm phân. Tuỳ theo từng loài, kì đầu I có thể kéo dài tới vài ngày thậm chí vài chục năm như ở người phụ nữ. Kì giữa I. Các cặp NST kép tương đồng sau khi bắt đôi và co xoắn cực đại di chuyển về mặt phẳng xích đạo của tế bào và tập trung thành 2 hàng. Dây tơ phân bào từ mỗi cực tế bào chỉ đính vào một phía của mỗi NST kép trong cặp tương đồng. Kì sau I: Mỗi NST kép trong cặp NST kép tương đồng di chuyển theo dây tơ phân bào về một cực của tế bào. Kì cuối I: Sau khi đi về cực của tế bào, các NSTkép dần dần dãn xoắn. Màng nhân và nhân con dần dần xuất hiện. Thoi phân bào tiêu biến. Sau đó là quá trình phân chia tế bào chất tạo nên 2 tế bào con có số lượng NST kép giảm đi một nửa. Sau khi kết thúc giảm phân I, các tế bào bước vào giảm phân II mà không nhân đôi NST.",Giảm phân thường xảy ra ở bao nhiêu lần?,2 lần phân bào liên tiếp,1 lần [SEP] 3 lần [SEP] 4 lần,6
"Giảm phân gồm 2 lần phân bào liên tiếp và xảy ra ở các cơ quan sinh sản nhưng chỉ có một lần ADN nhân đôi. Qua giảm phân từ 1 tế bào ban đầu cho ra 4 tế bào con với số lượng NST giảm đi một nửa. Giảm phân I. Kì đầu I: Giống như trong nguyên phân, tại kì trung gian, các NST được nhân đôi và các nhiễm sắc tử (crômatit) vẫn còn đính với nhau tại tâm động. Một NST bao gồm 2 nhiễm sắc tử như vậy được gọi là NST kép. Bước vào kì đầu I, các NST kép bắt đôi với nhau theo từng cặp tương đồng. Sau khi tiếp hợp, các NST kép dần dần co xoắn lại. Tiếp đến, các NST kép trong mỗi cặp NSTkép tương đồng dần dần đẩy nhau ra bắt đầu từ tâm động. Trong khi NST tiếp tục co xoắn lại thì thoi phân bào cũng hình thành và một số sợi thoi được đính với tâm động của các NST. Trong quá trình bắt đôi, các NST kép trong cặp NST kép tương đồng có thể trao đổi các đoạn crômatit cho nhau. Hiện tượng này được gọi là hiện tượng trao đổi chéo. Cuối kì đầu, màng nhân và nhân con dần tiêu biến. Kì đầu I chiếm phần lớn toàn bộ thời gian của quá trình giảm phân. Tuỳ theo từng loài, kì đầu I có thể kéo dài tới vài ngày thậm chí vài chục năm như ở người phụ nữ. Kì giữa I. Các cặp NST kép tương đồng sau khi bắt đôi và co xoắn cực đại di chuyển về mặt phẳng xích đạo của tế bào và tập trung thành 2 hàng. Dây tơ phân bào từ mỗi cực tế bào chỉ đính vào một phía của mỗi NST kép trong cặp tương đồng. Kì sau I: Mỗi NST kép trong cặp NST kép tương đồng di chuyển theo dây tơ phân bào về một cực của tế bào. Kì cuối I: Sau khi đi về cực của tế bào, các NSTkép dần dần dãn xoắn. Màng nhân và nhân con dần dần xuất hiện. Thoi phân bào tiêu biến. Sau đó là quá trình phân chia tế bào chất tạo nên 2 tế bào con có số lượng NST kép giảm đi một nửa. Sau khi kết thúc giảm phân I, các tế bào bước vào giảm phân II mà không nhân đôi NST.",Các NST nào được đính với nhau?,các NST được nhân đôi và các nhiễm sắc tử (crômatit),các NST kép tương đồng [SEP] các NST đơn [SEP] các NST kép,0
