context,question,answer,distract,question_type
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.",Số máy hơi nước Pháp biến động như thế nào trong khoảng 20 năm?,"5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần",Tăng gấp đôi [SEP] Không có thông tin [SEP] Giảm 5 lần,6
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.",Bộ mặt nào của Pháp thay đổi rõ rệt?,Pa-ri,Bộ mặt thành phố [SEP] Bộ mặt cảng biển [SEP] Bộ mặt nhà thờ,0
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.",Những công trình nào được xây dựng thay thế?,"đại lộ, nhà ga, cửa hàng...",rừng rậm [SEP] đầm lầy [SEP] đồng cỏ,0
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.",Cách mạng công nghiệp diễn ra khi nào?,những năm 40 của thế kỉ XIX,thế kỉ XVIII [SEP] những năm 20 của thế kỉ XIX [SEP] những năm 50 của thế kỉ XIX,2
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.","Đến cuối thế kỉ XIX, điều gì đã xảy ra?",tốc độ phát triển công nghiệ,Công nghiệp Đức vượt qua công nghiệp Anh [SEP] Sản lượng than đá ở Đức giảm [SEP] Giai cấp tư sản tiếp tục nắm quyền ở Đức,0
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.",Tốc độ phát triển công nghiệp ở Đức như thế nào?,của Đức,"Tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao. [SEP]
Công nghiệp phát triển chậm nhất ở Pháp. [SEP]
Công nghiệp Đức phát triển với tốc độ chậm.",5
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.",Công nghiệp nào chiếm vai trò quan trọng trong nền kỉnh tế Đức?,Công nghiệp luyện kim và hoá chất,Công nghiệp dệt may [SEP] Công nghiệp sản xuất ô tô [SEP] Công nghiệp chế biến thực phẩm,0
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.",Công nghiệp luyện kim và hoá chất còn gặp khó khăn gì?,Máy móc,Cuộc chiến tranh ở bán đảo Iberia [SEP] Nguyên liệu thô [SEP] Vận chuyển,0
"Ở Pháp, cho đến đầu thế kỉ XIX, khi cuộc chiến tranh với các nước cháu Âu kết thúc (năm I815), đất nước mới dần ổn định và có điều kỉện phát triển về kỉnh tế. Cũng như nước Anh, cách mạng công nghiệp ở Pháp được bắt đầu từ các ngành công nghiệp nhẹ vào những năm 30 của thế kỉ XIX và phát triển mạnh vào thời gian 1850 - 1870. Trong khoảng 20 năm đó, số máy hơi nước của Pháp tăng hơn 5 lần, từ 5000 chiếc lên 27000 chiếc; chiều dài đường sắt tăng 5,5 lần, từ 3000 km lên 16500 km; tàu chạy bằng máy hơi nước tăng hơn 3,5 lần với trọng tải tăng hơn 10 lần. Cách mạng công nghiệp đã đưa nền kỉnh tế Pháp vươn lên mạnh mẽ, công nghiệp Pháp đứng thứ hai trên thế giới, sau nước Anh. Bộ mặt Pa-ri và các thành phố thay đổi rõ rệt. Một hệ thống đại lộ, nhà ga, cửa hàng... được xây dựng thay thế các phố cũ chật hẹp. ơ Đức, cách mạng công nghiệp diễn ra vào những năm 40 của thế kỉ XIX mặc dù đất nước đang còn bị chia xẻ thành nhiều vương quốc và giai cấp tư sản chưa cầm quyển. Đến giữa thế kỉ XIX, tốc độ phát triển công nghiệp của Đức đạt mức kỉ lục. Từ năm 1850 đến năm 1860, sản lượng than, sắt, thép và độ dài đường sắt tăng hơn gấp đôi; số lượng động cơ chạy bằng hơi nước tăng gần 6 lần; công nghiệp khai mỏ phát triển mạnh, từ năm 1860 đến năm 1870, sản lượng than đá tăng từ 12 triệu tấn lên 26 triệu tấn. Công nghiệp luyện kim và hoá chất chiếm vai trò quan trọng trong nền kỉnh tế Đức. Máy móc cũng thâm nhập vào nông nghiệp. Việc sử dụng máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học đã làm cho năng suất tăng cao.",Việc sử dụng những loại máy nào làm cho năng suất tăng cao?,"máy cày, máy bừa, máy gặt,... và dùng phân bón hoá học",máy hơi nước [SEP] tàu chạy bằng máy hơi nước [SEP] động cơ chạy bằng hơi nước,0
"Cách mạng công nghiệp đã làm thay đổi bộ mặt các nước tư bản: nhiều trung tâm công nghiệp mới và thành thị đông dân xuất hiện, sản xuất bằng máy đã nâng cao năng suất lao động và ngày càng xã hội hoá quá trình lao động của chủ nghĩa tư bản. Cách mạng công nghiệp cũng góp phần thúc đẩy những chuyển biến mạnh mẽ trong các ngành kinh tế khác, đặc biệt là nông nghiệp và giao thông vận tải. Nhu cầu công nghiệp hoá khiến nông nghiệp nhanh chóng chuyển sang phương thức chuyện canh hoặc thâm canh, đồng thời quá trình cơ giới hoá nông nghiệp đã góp phần giải phóng nông dân, bổ sung lực lượng lao động cho thành phố. Hai giai cấp cơ bản của xã hội tư bản được hình thành - tư sản công nghiệp và vô sản công nghiệp. Sự tăng cường bóc lột công nhân của giai cấp tư sản làm cho mâu thuẫn trong xã hội tư bản và cuộc đấu tranh giữa giai cấp vô sản với giai cấp tư sản không ngừng tăng lên. ",Cách mạng công nghiệp đem lại những gì?,"thúc đẩy những chuyển biến mạnh mẽ trong các ngành kinh tế khác, đặc biệt là nông nghiệp và giao thông vận tải. Nhu cầu công nghiệp hoá",Cách mạng công nghiệp làm xuất hiện các nhà máy thủy điện với công suất lớn [SEP] Cách mạng Công nghiệp cũng thúc đẩy sự phát triển mạnh mẽ của ngành điện [SEP] Cách mạng Công nghiệp làm cho các nước tư bản trở thành các nước nông nghiệp,0
